,training_loss,train_accuracies,val_losses,val_accuracies
0,0.28674547530279376,0.9141854313619099,0.15345293531706003,0.9475806451612904
1,0.14097366655212829,0.9576098752034726,0.101058239589723,0.9707661290322581
2,0.1002518718996856,0.9691569451980466,0.08445263942682589,0.9717741935483871
3,0.07821756622720068,0.9759732772653282,0.07231406988883675,0.9798387096774194
4,0.0633422475806877,0.9805005425935974,0.057327129519899385,0.9828629032258065
5,0.05178695675852967,0.9837052360282149,0.05630852802342637,0.9788306451612904
6,0.043395126837085914,0.9861977753662506,0.055503135339007956,0.9848790322580645
7,0.03726817776783062,0.9882833695062399,0.05550290165091051,0.9808467741935484
8,0.031306827794552704,0.9900637547476939,0.0611947986729923,0.9848790322580645
9,0.02643484553885294,0.9918610960390667,0.061053669283802,0.9838709677419355
10,0.0226262909425688,0.9932514921323928,0.0684836158408988,0.9798387096774194
11,0.017974738907242074,0.9949640531741726,0.06986585739324756,0.9808467741935484
12,0.015830996659727276,0.9953031741725448,0.05222506514061101,0.9858870967741935
13,0.011928764614450554,0.997168339663592,0.05599061055096203,0.9868951612903226
14,0.009725745024051876,0.9975922409115573,0.0572490909581274,0.9848790322580645
15,0.007725429590506664,0.9982196147585458,0.05872579795605745,0.9828629032258065
16,0.006342608890440193,0.9985756918068367,0.05715116942166191,0.9838709677419355
17,0.0049233760657479515,0.999169153553988,0.06839384449648703,0.9798387096774194
18,0.003929660928649108,0.9993895822029301,0.06037236223066354,0.9848790322580645
19,0.0028853331994885874,0.999694791101465,0.059677098557911874,0.9838709677419355
20,0.002193068578910308,0.9998473955507325,0.05967598427878422,0.9828629032258065
21,0.0018416105334620916,0.9997965274009767,0.061661666993226304,0.9868951612903226
22,0.0017252220952993602,0.9998134834508953,0.06590904068026575,0.9868951612903226
23,0.0013327977537506586,0.9999491318502441,0.060662269129738516,0.9868951612903226
24,0.0010810886247613178,0.9999830439500814,0.06110881149141782,0.9848790322580645
