,training_loss,train_accuracies,val_losses,val_accuracies
0,0.23492549384691272,0.9292173495518566,0.1404967631107755,0.9563301282051282
1,0.11087176240467284,0.965729033290653,0.09310019613247225,0.9708533653846154
2,0.08004044778367751,0.975372119078105,0.10082972079672795,0.9699519230769231
3,0.06370240755055658,0.9797535211267606,0.10024738772662607,0.9733573717948718
4,0.052852497128263266,0.9837347951344431,0.10196010840060865,0.9732572115384616
5,0.044406136921322316,0.9858154609475032,0.10850248416554442,0.9712540064102564
6,0.03844029424089452,0.9874759923175416,0.09577031738520088,0.9787660256410257
7,0.03748573174716257,0.988496318822023,0.104088177140334,0.9768629807692307
8,0.031283711566707076,0.9897167093469911,0.10790453376937528,0.975761217948718
9,0.03079032163978455,0.990997119078105,0.13222114986737415,0.9750600961538461
10,0.026176472417586676,0.9925576184379001,0.12901368801952048,0.9759615384615384
11,0.026573855037476345,0.9919974391805377,0.1217354911266696,0.9778645833333334
12,0.025198012485311866,0.9925176056338029,0.1447366624788407,0.9763621794871795
13,0.027705522062720808,0.9926976632522407,0.1290586218405136,0.9778645833333334
14,0.02342873892680567,0.993317861715749,0.16426302464736167,0.9728565705128205
15,0.018163333664593752,0.9950784250960307,0.13530275300760786,0.9776642628205128
16,0.02540718008874345,0.9936379641485276,0.16024740572253168,0.9774639423076923
17,0.016058842585383606,0.9957786491677336,0.1849404994520283,0.9724559294871795
18,0.0226190774172659,0.9940380921895007,0.1435327376037816,0.9797676282051282
19,0.021184590401032898,0.9950184058898848,0.189114525426998,0.9758613782051282
20,0.017429186335254206,0.9952184699103713,0.20550979105846987,0.9751602564102564
21,0.02461940094664765,0.9937379961587708,0.1987782408450215,0.9766626602564102
22,0.015950532609675647,0.9960787451984635,0.18056603036480792,0.9783653846153846
23,0.020012019761869723,0.9950784250960307,0.1923362648833011,0.9783653846153846
24,0.02030214211133391,0.9954185339308579,0.22363198825204678,0.9746594551282052
